ranking,tv_names,tv_ratings,no_of_votes,release_year,no_of_episodes
194,I'm Alan Partridge,8.6,21000,1997,12
195,Endeavour,8.6,31000,2012,36
196,Formula 1: Drive to Survive,8.5,47000,2019,51
197,Ezel,8.7,35000,2009,71
198,Rocket Boys,8.9,17000,2022,16
199,Louie,8.5,81000,2010,61
200,Whose Line Is It Anyway?,8.5,45000,1998,220
201,Samurai Jack,8.5,57000,2001,62
202,The Office,8.5,119000,2001,14
203,Mob Psycho 100,8.6,40000,2016,37
204,Through the Wormhole,8.6,18000,2010,62
205,Detectorists,8.6,19000,2014,20
206,Spartacus,8.5,251000,2010,33
207,Shameless,8.5,264000,2011,134
208,Letterkenny,8.7,27000,2016,76
209,Doctor Who,8.6,235000,2005,211
210,Sons of Anarchy,8.6,313000,2008,92
211,Neon Genesis Evangelion,8.5,79000,1995,26
212,Happy Valley,8.5,60000,2014,18
213,Brass Eye,8.6,11000,1997,7
214,Skam,8.6,37000,2015,43
215,Twin Peaks,8.5,73000,2017,18
216,Trailer Park Boys,8.6,48000,2001,106
217,The Rehearsal,8.5,23000,2022,7
218,North & South,8.6,34000,2004,4
219,Extraordinary Attorney Woo,8.6,22000,2022,16
220,Spartacus: Gods of the Arena,8.5,143000,2011,6
221,Silicon Valley,8.5,160000,2014,53
222,Fullmetal Alchemist,8.5,75000,2003,51
223,Futurama,8.5,253000,1999,160
224,Westworld,8.5,521000,2016,36
225,From the Earth to the Moon,8.6,13000,1998,12
226,Rurouni Kenshin: Trust and Betrayal,8.6,16000,1999,4
227,Regular Show,8.5,53000,2010,244
228,Schitt's Creek,8.5,136000,2015,80
229,Hannibal,8.5,267000,2013,39
230,The Expanse,8.5,165000,2015,62
231,Tear Along the Dotted Line,8.6,11000,2021,6
232,Jujutsu Kaisen,8.5,84000,2020,35
233,Umbre,8.7,11000,2014,21
234,Community,8.5,283000,2009,110
235,Derry Girls,8.5,52000,2018,19
236,My Brilliant Friend,8.6,17000,2018,25
237,Wentworth,8.6,24000,2013,100
238,Chef's Table,8.5,16000,2015,30
